,a,grammatical,b
137,Jessica illustrated the client the solution.,1,Jessica illustrated the solution to the client.
138,Christopher demonstrated the mechanic the issue.,1,Christopher demonstrated the issue to the mechanic.
139,Jessica demonstrated the client the solution.,1,Jessica demonstrated the solution to the client.
140,Christopher donated the university a statue.,1,Christopher donated a statue to the university.
141,Christopher donated the museum a hundred dollars.,1,Christopher donated a hundred dollars to the museum.
142,Nicole contributed the museum a statue.,1,Nicole contributed a statue to the museum.
143,Christopher contributed the university a hundred dollars.,1,Christopher contributed a hundred dollars to the university.
144,Jessica delivered the recipient the message.,1,Jessica delivered the message to the recipient.
145,Christopher delivered the recipient the letter.,1,Christopher delivered the letter to the recipient.
146,Jason conveyed the recipient the message.,1,Jason conveyed the message to the recipient.
147,Elizabeth conveyed the recipient the letter.,1,Elizabeth conveyed the letter to the recipient.
148,Jason restored its place the painting.,1,Jason restored the painting to its place.
149,Elizabeth restored its place the car.,1,Elizabeth restored the car to its place.
150,Michael returned its place the painting.,1,Michael returned the painting to its place.
151,Nicole returned its place the car.,1,Nicole returned the car to its place.
152,Jessica announced the shareholders the committee 's decision.,1,Jessica announced the committee 's decision to the shareholders.
153,Michael announced the investors the result.,1,Michael announced the result to the investors.
154,Christopher declared the investors the committee 's decision.,1,Christopher declared the committee 's decision to the investors.
155,Elizabeth declared the shareholders the result.,1,Elizabeth declared the result to the shareholders.
156,Jason revealed the shareholders the committee 's decision.,1,Jason revealed the committee 's decision to the shareholders.
157,Michael revealed the shareholders the result.,1,Michael revealed the result to the shareholders.
158,Nicole reported the shareholders the committee 's decision.,1,Nicole reported the committee 's decision to the shareholders.
159,Christopher reported the investors the result.,1,Christopher reported the result to the investors.
160,Jason admitted the authorities the crime.,1,Jason admitted the crime to the authorities.
161,Michael admitted the authorities the error.,1,Michael admitted the error to the authorities.
162,Nicole confessed the authorities the crime.,1,Nicole confessed the crime to the authorities.
163,Christopher confessed the authorities the error.,1,Christopher confessed the error to the authorities.
164,Jason mentioned John a solution.,1,Jason mentioned a solution to John.
165,Elizabeth mentioned Susan an idea.,1,Elizabeth mentioned an idea to Susan.
166,Jessica suggested Susan a solution.,1,Jessica suggested a solution to Susan.
167,Christopher suggested Susan an idea.,1,Christopher suggested an idea to Susan.
168,Elizabeth proposed Rebecca a solution.,1,Elizabeth proposed a solution to Rebecca.
169,Nicole proposed John an idea.,1,Nicole proposed an idea to John.
170,Jason distributed the children the medications.,1,Jason distributed the medications to the children.
171,Christopher distributed the children the tests.,1,Christopher distributed the tests to the children.
172,Christopher administered the children the medications.,1,Christopher administered the medications to the children.
173,Jason administered the children the tests.,1,Jason administered the tests to the children.
174,Nicole expressed Susan the concern.,1,Nicole expressed the concern to Susan.
175,Christopher expressed David the news.,1,Christopher expressed the news to David.
176,Nicole broadcasted David the concern.,1,Nicole broadcasted the concern to David.
177,Jessica broadcasted David the news.,1,Jessica broadcasted the news to David.
